user,churn,age,housing,deposits,withdrawal,purchases_partners,purchases,cc_taken,cc_recommended,cc_disliked,cc_liked,cc_application_begin,app_downloaded,web_user,ios_user,android_user,registered_phones,payment_type,waiting_4_loan,cancelled_loan,received_loan,rejected_loan,zodiac_sign,left_for_two_month_plus,left_for_one_month,reward_rate,is_referred
23547,0,28.0,R,0,0,1,0,0,96,0,0,5,1,1,1,0,0,Weekly,0,0,0,0,Leo,0,0,1.47,1
58313,0,35.0,R,47,2,86,47,0,285,0,0,9,1,0,0,1,2,Semi-Monthly,0,0,0,0,Capricorn,1,0,2.17,0
8095,0,26.0,R,26,3,38,25,0,74,0,0,26,1,0,0,1,0,Bi-Weekly,0,0,0,0,Capricorn,0,0,1.1,1
3120,1,32.0,R,5,3,111,5,0,227,0,0,17,1,1,0,1,0,Bi-Weekly,0,0,0,0,Taurus,0,0,1.83,0
41406,0,21.0,na,0,0,4,0,0,0,0,0,0,1,0,0,1,0,Bi-Weekly,0,0,0,0,Cancer,0,0,0.06999999999999999,0
21269,0,28.0,R,0,0,0,0,2,47,1,0,9,1,1,1,0,0,Bi-Weekly,0,0,0,0,Sagittarius,0,0,0.87,1
25788,0,23.0,na,1,0,87,1,0,125,0,0,3,1,1,1,0,0,Bi-Weekly,0,0,0,0,Aquarius,0,0,1.0699999999999998,0
25899,0,41.0,O,14,0,116,13,0,217,0,0,45,1,1,1,0,0,Semi-Monthly,0,0,0,0,Virgo,0,0,2.17,0
20839,0,20.0,na,0,0,135,0,0,286,0,0,21,1,1,1,1,5,Bi-Weekly,0,0,0,0,Libra,0,0,2.2,1
13019,0,27.0,O,2,1,48,2,0,127,0,0,18,1,1,0,1,0,Weekly,0,0,0,0,Gemini,0,0,1.0,0
30419,1,24.0,na,6,2,24,6,0,55,0,0,4,1,0,0,1,0,Weekly,0,0,0,0,Capricorn,0,0,0.9,0
30693,0,31.0,R,17,2,62,17,0,180,0,0,22,1,1,0,1,0,na,0,0,0,0,Libra,0,0,1.4300000000000002,0
15359,1,21.0,na,0,0,0,0,0,3,0,0,0,1,1,0,0,0,Bi-Weekly,0,0,0,0,Sagittarius,0,0,0.0,0
25997,0,37.0,R,0,0,39,0,0,74,0,0,6,1,1,1,0,2,na,0,1,0,0,Scorpio,0,0,1.33,0
13813,1,30.0,R,6,0,11,6,0,20,0,0,3,1,0,0,1,2,Bi-Weekly,0,0,0,0,Gemini,0,0,0.4,0
19184,1,44.0,O,0,0,0,0,3,4,3,1,4,1,1,1,0,0,Monthly,0,0,0,0,Scorpio,0,1,0.16999999999999998,0
34210,1,52.0,na,0,0,0,0,0,74,0,0,1,1,1,1,0,0,Bi-Weekly,0,0,0,0,Pisces,1,0,1.3,0
57598,1,25.0,na,0,0,0,0,0,32,0,0,7,1,0,0,1,0,Monthly,0,0,0,0,Virgo,0,0,0.47,0
57608,1,22.0,na,0,0,0,0,1,67,1,0,5,1,0,1,0,0,Bi-Weekly,0,0,0,0,Pisces,0,0,0.9,0
46960,0,29.0,na,0,0,1,0,0,0,0,0,0,1,0,0,1,0,Monthly,0,0,0,0,Cancer,0,0,0.25,0
28827,0,25.0,na,0,0,3,0,0,3,0,0,0,1,0,0,1,0,Bi-Weekly,0,0,0,0,Libra,0,0,0.14,0
25823,1,36.0,na,0,0,83,0,0,153,0,0,15,1,1,1,0,0,Bi-Weekly,0,0,0,0,Pisces,0,0,0.97,1
